Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;144.5855;144.5855;147.8387;11-Jul-2007
100471;Franklin India Bluechip Fund-Growth;146.4797;146.4797;149.7755;12-Jul-2007
100471;Franklin India Bluechip Fund-Growth;148.7745;148.7745;152.1219;13-Jul-2007
100471;Franklin India Bluechip Fund-Growth;149.1463;149.1463;152.5021;16-Jul-2007
100471;Franklin India Bluechip Fund-Growth;148.0723;148.0723;151.4039;17-Jul-2007
100471;Franklin India Bluechip Fund-Growth;148.3439;148.3439;151.6816;18-Jul-2007
100471;Franklin India Bluechip Fund-Growth;150.8505;150.8505;154.2446;19-Jul-2007
100471;Franklin India Bluechip Fund-Growth;150.8049;150.8049;154.1980;20-Jul-2007
100471;Franklin India Bluechip Fund-Growth;153.0013;153.0013;156.4438;23-Jul-2007
100471;Franklin India Bluechip Fund-Growth;153.1482;153.1482;156.5940;24-Jul-2007
100471;Franklin India Bluechip Fund-Growth;152.1044;152.1044;155.5267;25-Jul-2007
100471;Franklin India Bluechip Fund-Growth;152.9211;152.9211;156.3618;26-Jul-2007
100471;Franklin India Bluechip Fund-Growth;147.7505;147.7505;151.0749;27-Jul-2007
100471;Franklin India Bluechip Fund-Growth;147.5903;147.5903;150.9111;30-Jul-2007
100471;Franklin India Bluechip Fund-Growth;151.0756;151.0756;154.4748;31-Jul-2007
100471;Franklin India Bluechip Fund-Growth;145.4364;145.4364;148.7087;01-Aug-2007
100471;Franklin India Bluechip Fund-Growth;146.5648;146.5648;149.8625;02-Aug-2007
100471;Franklin India Bluechip Fund-Growth;148.4182;148.4182;151.7576;03-Aug-2007
100471;Franklin India Bluechip Fund-Growth;146.2632;146.2632;149.5541;06-Aug-2007
100471;Franklin India Bluechip Fund-Growth;146.9773;146.9773;150.2843;07-Aug-2007
100471;Franklin India Bluechip Fund-Growth;150.1666;150.1666;153.5453;08-Aug-2007
100471;Franklin India Bluechip Fund-Growth;148.1420;148.1420;151.4752;09-Aug-2007
100471;Franklin India Bluechip Fund-Growth;145.2212;145.2212;148.4887;10-Aug-2007
100471;Franklin India Bluechip Fund-Growth;146.5529;146.5529;149.8503;13-Aug-2007
100471;Franklin India Bluechip Fund-Growth;145.8354;145.8354;149.1167;14-Aug-2007
100471;Franklin India Bluechip Fund-Growth;140.1452;140.1452;143.2985;16-Aug-2007
100471;Franklin India Bluechip Fund-Growth;137.5884;137.5884;140.6841;17-Aug-2007
100471;Franklin India Bluechip Fund-Growth;140.1417;140.1417;143.2949;20-Aug-2007
100471;Franklin India Bluechip Fund-Growth;135.8493;135.8493;138.9059;21-Aug-2007
100471;Franklin India Bluechip Fund-Growth;138.4254;138.4254;141.5400;22-Aug-2007
